0.00,0.00,0.00,000.00,0
32.00,27.00,4.90,372.00,1.30
32.00,27.00,4.93,332.00,1.30
33.00,27.00,4.87,326.00,1.30
32.00,27.00,4.88,363.00,0.49
33.00,27.00,4.87,326.00,1.30
32.00,27.00,4.88,363.00,0.49
33.00,27.00,4.87,326.00,1.30
32.00,27.00,4.88,363.00,0.49
33.00,27.00,4.87,326.00,1.30
32.00,27.00,4.88,363.00,0.49
32.00,25.00,4.74,336.00,0.53
32.00,25.00,4.72,335.00,0.53
31.00,24.00,4.70,337.00,0.53
31.00,24.00,4.67,337.00,0.53
31.00,24.00,4.63,337.00,0.54
31.00,24.00,4.60,339.00,0.52
31.00,23.00,4.55,338.00,0.52
31.00,23.00,4.40,339.00,0.53
32.00,23.00,4.16,339.00,0.53
32.00,23.00,3.70,340.00,0.53
31.00,22.00,2.85,340.00,0.53
32.00,22.00,1.41,342.00,0.53
32.00,22.00,0.47,341.00,0.52
33.00,22.00,0.22,342.00,0.52
33.00,22.00,0.18,341.00,0.49
33.00,22.00,0.17,343.00,0.53
34.00,22.00,0.16,342.00,0.53
34.00,22.00,0.17,342.00,0.53
34.00,22.00,0.18,344.00,0.49
34.00,22.00,0.16,345.00,0.53
35.00,22.00,0.15,345.00,0.53
34.00,22.00,0.15,345.00,0.49
35.00,22.00,0.15,345.00,0.53
35.00,22.00,0.15,345.00,0.49
35.00,22.00,0.18,345.00,0.49
35.00,22.00,0.28,347.00,0.53
35.00,22.00,0.59,345.00,0.53
35.00,21.00,1.51,346.00,0.54
35.00,21.00,2.98,345.00,0.54
35.00,21.00,3.91,345.00,0.54
35.00,21.00,4.31,347.00,0.53
35.00,21.00,4.50,347.00,0.52
35.00,21.00,4.58,346.00,0.52
35.00,21.00,4.63,346.00,0.54
35.00,21.00,4.65,348.00,0.53
35.00,21.00,4.68,347.00,0.53
35.00,21.00,4.69,347.00,0.53
35.00,21.00,4.71,347.00,0.53
35.00,21.00,4.72,348.00,0.53
35.00,21.00,4.73,348.00,0.53
35.00,21.00,4.74,349.00,0.53
35.00,21.00,4.75,348.00,0.53
34.00,21.00,4.77,348.00,0.53
34.00,21.00,4.76,349.00,0.52
34.00,21.00,4.77,349.00,0.40
34.00,22.00,4.78,349.00,0.53
34.00,22.00,4.78,357.00,0.53
34.00,22.00,4.79,364.00,0.49
32.00,23.00,4.84,359.00,1.26
30.00,27.00,4.94,359.00,1.27
27.00,26.00,4.93,360.00,1.24
26.00,27.00,4.90,361.00,1.30
